playerID,b_G,b_AB,b_R,b_H,b_2B,b_3B,b_HR,b_RBI,b_SB,b_CS,b_BB,b_SO,b_GIDP
abreubr01,11,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
abreujo01,9,28,4,6,1,0,1,3.0,0.0,0.0,4,4.0,1.0
abreujo02,961,3787,526,1114,233,14,198,671.0,10.0,5.0,263,835.0,120.0
abreuju01,7,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
abreuto01,224,579,61,147,39,6,6,60.0,2.0,4.0,22,116.0,20.0
abreuwi01,38,2,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0
abstebi01,170,619,54,150,22,10,1,76.0,21.0,0.0,29,75.0,0.0
accarje01,262,7,0,1,0,0,0,0.0,0.0,0.0,0,1.0,0.0
aceveal01,204,2,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0
acevejo01,104,101,2,8,2,0,0,4.0,0.0,0.0,5,61.0,2.0
aceveju01,367,65,4,6,2,0,0,0.0,0.0,0.0,3,33.0,2.0
achteaj01,45,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
ackerji01,467,54,2,9,1,0,0,1.0,0.0,0.0,2,32.0,1.0
ackerto01,153,77,10,5,0,0,0,2.0,0.0,0.0,12,46.0,1.0
ackledu01,635,2125,261,512,94,18,46,216.0,31.0,12.0,194,419.0,25.0
acklefr01,5,6,0,2,1,0,0,1.0,0.0,0.0,1,4.0,0.0
acostcy01,107,7,0,0,0,0,0,0.0,0.0,0.0,0,6.0,0.0
acosted01,57,29,1,1,0,0,0,0.0,0.0,0.0,1,15.0,0.0
acostjo01,55,60,4,9,1,0,0,1.0,1.0,0.0,11,22.0,0.0
acostma01,233,6,0,0,0,0,0,0.0,0.0,0.0,1,4.0,0.0
acostme01,180,436,56,111,9,7,0,37.0,17.0,8.0,63,46.0,0.0
acrema01,114,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
acunaro01,313,1219,251,342,59,6,81,194.0,61.0,15.0,159,371.0,15.0
adairje01,1165,4019,378,1022,163,19,57,366.0,29.0,29.0,208,499.0,149.0
adairji01,18,76,9,21,3,1,0,3.0,1.0,0.0,1,8.0,0.0
adamecr01,176,328,32,70,9,4,2,22.0,2.0,4.0,30,77.0,6.0
adamewi01,291,1004,141,263,47,2,38,109.0,12.0,8.0,97,322.0,19.0
adamja01,67,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
adamsac01,302,99,9,12,0,0,0,2.0,0.0,0.0,6,14.0,2.0
adamsau01,68,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0
adamsau02,41,2,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0
adamsba01,482,1019,79,216,31,15,3,75.0,1.0,1.0,53,194.0,0.0
adamsbe01,267,678,37,137,17,4,2,45.0,9.0,0.0,23,82.0,0.0
adamsbo01,2,3,1,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0
adamsbo02,5,3,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
adamsbo03,1281,4019,591,1082,188,49,37,303.0,67.0,30.0,414,447.0,62.0
adamsbo04,15,24,2,6,1,0,2,2.0,0.0,0.0,0,5.0,0.0
adamsbu01,576,2003,282,532,96,12,50,249.0,12.0,0.0,234,281.0,35.0
adamsch01,22,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
adamsda01,47,55,1,8,0,0,1,3.0,0.0,0.0,3,18.0,0.0
adamsda02,43,140,10,27,5,1,2,13.0,0.0,0.0,9,43.0,4.0
adamsdi01,37,89,9,18,2,3,2,11.0,0.0,0.0,2,18.0,0.0
adamsdo01,8,14,1,3,0,0,0,1.0,0.0,0.0,1,3.0,1.0
adamsge01,4,13,0,3,0,0,0,0.0,0.0,0.0,1,1.0,0.0
adamsgl01,661,1617,152,452,79,5,34,225.0,6.0,10.0,111,183.0,47.0
adamshe01,95,337,39,88,8,6,0,18.0,4.0,2.0,22,24.0,5.0
adamsji01,1,4,0,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0
adamsjo01,1,2,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
adamsjo02,44,10,0,3,1,0,0,1.0,0.0,0.0,0,0.0,1.0
adamska01,30,32,0,1,0,0,0,0.0,0.0,0.0,0,16.0,0.0
adamsla01,117,137,30,36,5,1,7,26.0,11.0,0.0,14,47.0,4.0
adamsma01,834,2385,294,618,129,6,118,397.0,4.0,4.0,161,634.0,48.0
adamsmi01,11,6,1,2,0,1,0,1.0,0.0,0.0,0,4.0,0.0
adamsmi02,100,118,27,23,5,0,3,9.0,2.0,1.0,32,29.0,2.0
adamsmi03,410,2,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
adamsre01,8,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
adamsri01,11,23,1,4,0,0,0,0.0,0.0,0.0,4,5.0,0.0
adamsri02,120,247,35,53,5,1,4,16.0,3.0,2.0,10,37.0,5.0
adamsru01,286,884,125,218,46,7,17,113.0,15.0,5.0,85,118.0,14.0
adamsry01,29,89,9,25,4,0,0,7.0,0.0,0.0,6,25.0,7.0
adamssp01,1424,5557,844,1588,249,48,9,394.0,154.0,50.0,453,223.0,14.0
adamssp02,180,395,61,101,16,5,0,38.0,5.0,10.0,38,50.0,0.0
adamste01,574,78,2,4,1,0,0,2.0,0.0,0.0,7,41.0,1.0
adamswi01,65,88,4,9,1,1,0,2.0,0.0,0.0,3,18.0,0.0
adamswi02,25,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
adcocjo01,1959,6606,823,1832,295,35,336,1122.0,20.0,25.0,594,1059.0,223.0
adcocna01,56,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0
addisbo01,208,534,70,150,22,2,2,47.0,8.0,6.0,37,47.0,9.0
adducji01,70,144,11,34,8,1,1,15.0,0.0,1.0,2,27.0,1.0
adducji02,151,396,48,92,18,4,5,39.0,7.0,2.0,29,111.0,5.0
addybo01,274,1231,227,341,36,13,1,167.0,35.0,17.0,20,9.0,0.0
adelljo01,38,124,9,20,4,0,3,7.0,0.0,1.0,7,55.0,3.0
adenhni01,4,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
aderhmo01,106,262,36,70,7,3,3,32.0,3.0,1.0,19,29.0,1.0
adkinde01,38,22,2,5,1,0,1,3.0,0.0,0.0,0,10.0,0.0
adkindi01,3,7,2,1,0,0,0,0.0,0.0,0.0,2,2.0,0.0
adkindo01,6,12,1,2,0,0,0,0.0,0.0,0.0,0,1.0,0.0
adkingr01,76,116,9,21,3,3,0,6.0,1.0,0.0,6,26.0,0.0
adkinhe01,1,5,1,2,0,0,0,0.0,0.0,0.0,0,2.0,0.0
adkinjo01,119,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0
adkinst01,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
adlemti01,43,50,2,7,3,0,0,5.0,0.0,0.0,0,21.0,0.0
adlesda01,106,256,9,43,3,1,1,11.0,0.0,0.0,18,80.0,9.0
adriaeh01,466,1079,143,263,63,7,16,114.0,18.0,8.0,94,230.0,14.0
afenitr01,45,79,4,15,2,2,0,7.0,0.0,0.0,5,32.0,1.0
affelje01,774,17,0,3,0,0,0,2.0,0.0,0.0,2,6.0,0.0
agbaybe01,383,1091,145,299,57,6,39,156.0,16.0,16.0,139,246.0,31.0
ageeto01,1129,3912,558,999,170,27,130,433.0,167.0,81.0,342,918.0,99.0
agganha01,157,517,65,135,23,9,11,67.0,8.0,3.0,57,67.0,9.0
aglerjo01,234,751,121,185,22,10,0,36.0,38.0,0.0,131,130.0,0.0
agnewsa01,563,1537,105,314,41,14,2,98.0,29.0,10.0,102,216.0,0.0
agostju01,543,20,0,2,0,0,0,0.0,0.0,0.0,1,7.0,0.0
agrazda01,15,22,0,2,0,0,0,2.0,0.0,0.0,0,9.0,0.0
aguaylu01,568,1104,142,260,43,10,37,109.0,7.0,5.0,94,220.0,27.0
aguilch01,149,230,26,53,13,2,3,16.0,2.0,2.0,16,61.0,3.0
aguilje01,499,1331,192,345,63,2,71,249.0,0.0,1.0,153,379.0,45.0
aguilri01,737,139,12,28,3,0,3,11.0,0.0,0.0,6,37.0,1.0
aguirha01,447,388,14,33,7,1,0,21.0,1.0,0.0,14,236.0,4.0
ahearch01,1,4,1,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0
ahearpa01,4,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
ahmedni01,670,2213,277,528,112,20,60,260.0,29.0,18.0,167,456.0,54.0
aikenwi01,774,2492,301,675,125,2,110,415.0,3.0,6.0,319,444.0,87.0
aingeda01,211,665,57,146,19,4,2,37.0,12.0,5.0,37,128.0,16.0
ainsmed01,1078,3048,299,707,108,54,22,317.0,86.0,16.0,263,336.0,0.0
ainswku01,30,28,1,2,1,0,0,0.0,0.0,0.0,0,8.0,0.0
aitchra01,34,59,4,10,0,0,0,2.0,0.0,0.0,9,17.0,0.0
aitonge01,10,17,1,4,0,0,0,1.0,0.0,0.0,4,0.0,0.0
akejo01,13,52,1,10,0,1,0,2.0,0.0,0.0,0,0.0,0.0
akerfda01,125,9,0,1,0,0,0,0.0,0.0,0.0,0,6.0,0.0
akerja01,496,92,3,7,2,0,0,4.0,0.0,0.0,1,51.0,1.0
akersbi01,174,475,64,124,17,9,11,69.0,7.0,6.0,63,64.0,0.0
akersje01,5,6,0,2,0,0,0,0.0,0.0,0.0,0,0.0,0.0
akinke01,8,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
akiyash01,54,155,16,38,6,1,0,9.0,7.0,3.0,25,34.0,1.0
alanirj01,12,1,0,1,0,0,0,1.0,0.0,0.0,0,0.0,0.0
albagi01,3,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
albaljo01,66,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
albanjo01,6,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
alberan01,26,1,0,1,0,0,0,1.0,0.0,0.0,0,0.0,0.0
alberbu01,6,18,1,5,1,0,0,0.0,0.0,0.0,0,2.0,0.0
albercy01,4,7,0,0,0,0,0,0.0,0.0,0.0,2,3.0,0.0
albergu01,120,426,62,84,10,6,1,50.0,27.0,0.0,52,61.0,0.0
alberha01,282,925,111,257,41,3,15,82.0,9.0,5.0,25,118.0,18.0
alberjo01,27,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
alberma01,616,35,1,3,1,0,0,0.0,0.0,0.0,0,21.0,0.0
albieoz01,404,1614,262,450,97,18,60,205.0,40.0,9.0,116,294.0,14.0
albosed01,19,12,0,1,0,0,0,0.0,0.0,0.0,0,7.0,1.0
albreed01,3,3,0,0,0,0,0,0.0,0.0,0.0,1,1.0,1.0
albrija01,41,99,9,23,4,0,2,5.0,1.0,0.0,10,11.0,2.0
albural01,264,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
alburvi01,102,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0
alcaljo01,18,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
alcalsa01,68,71,6,8,1,0,1,4.0,0.0,0.0,2,41.0,0.0
alcanar01,167,428,51,81,15,3,11,39.0,14.0,8.0,24,150.0,6.0
alcanis01,51,115,15,31,3,0,6,15.0,1.0,1.0,6,26.0,3.0
alcanra01,13,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
alcansa01,53,70,2,5,1,0,0,4.0,0.0,0.0,2,54.0,0.0
alcanse01,10,21,2,3,0,1,1,1.0,0.0,0.0,2,4.0,0.0
alcanvi01,79,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
alcarlu01,115,365,30,70,9,2,4,29.0,2.0,2.0,21,58.0,7.0
alcocsc01,54,156,12,27,4,2,0,7.0,4.0,2.0,7,14.0,0.0
alderda01,16,7,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0
aldremi01,930,2147,277,565,104,9,41,271.0,19.0,18.0,314,381.0,43.0
aldresc01,229,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0
aldrico01,13,18,1,1,0,1,0,1.0,0.0,0.0,0,9.0,0.0
aldrija01,62,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0
aldrivi01,248,581,46,133,14,4,2,60.0,2.0,0.0,10,41.0,0.0
alenoch01,118,320,34,67,11,3,2,34.0,3.0,0.0,31,35.0,7.0
alexabo01,9,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0
alexada01,662,2450,369,811,164,30,61,459.0,20.0,28.0,248,197.0,0.0
alexado01,562,265,19,44,8,0,0,17.0,0.0,0.0,9,77.0,7.0
alexaga01,432,1276,169,293,45,11,55,202.0,8.0,12.0,154,381.0,34.0
alexage01,36,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
alexahu01,7,11,0,1,0,0,0,0.0,1.0,0.0,0,5.0,0.0
alexama01,374,168,111,36,4,2,0,4.0,103.0,42.0,18,26.0,2.0
alexama02,594,1271,166,293,50,12,15,115.0,37.0,10.0,86,276.0,17.0
alexani01,20,69,2,9,0,0,0,0.0,0.0,0.0,1,0.0,0.0
alexape01,703,1810,154,378,60,13,11,163.0,3.0,5.0,77,276.0,0.0
alexasc01,193,8,0,0,0,0,0,0.0,0.0,0.0,0,6.0,0.0
alexaty01,27,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
alexawa01,162,405,26,76,18,3,1,24.0,5.0,1.0,42,83.0,0.0
alfarja01,7,11,1,2,0,0,0,0.0,0.0,0.0,0,5.0,1.0
alfarjo01,304,991,103,260,38,3,36,124.0,9.0,4.0,48,369.0,18.0
alfonan01,592,14,0,2,0,0,0,2.0,0.0,0.0,0,8.0,0.0
alfoned01,1506,5385,777,1532,282,18,146,744.0,53.0,17.0,596,617.0,110.0
alfonel01,193,591,44,142,24,3,17,67.0,1.0,2.0,17,158.0,17.0
alforan01,51,83,11,14,1,1,3,9.0,6.0,0.0,4,31.0,0.0
alicelu01,1341,3971,551,1031,189,53,47,422.0,81.0,50.0,500,624.0,74.0
allanan01,512,1486,145,357,48,4,16,140.0,23.0,18.0,87,223.0,27.0
allarbr01,19,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
allarko01,23,3,1,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0
allenau01,48,96,5,20,5,0,1,6.0,0.0,0.0,7,35.0,2.0
allenbe01,1139,3404,357,815,140,21,73,352.0,13.0,16.0,370,424.0,60.0
allenbo01,607,2216,338,534,77,45,14,306.0,53.0,0.0,297,221.0,0.0
allenbo02,9,22,3,3,1,0,0,0.0,0.0,0.0,3,7.0,0.0
allenbo03,3,3,1,1,0,0,0,0.0,0.0,0.0,0,1.0,0.0
allenbo04,204,31,0,4,1,0,0,0.0,0.0,0.0,1,16.0,0.0
allenbr01,116,344,44,70,19,2,12,41.0,3.0,0.0,42,137.0,4.0
allench01,267,851,102,229,44,8,14,84.0,15.0,13.0,63,173.0,23.0
allenco01,481,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0
allendi01,1749,6332,1099,1848,320,79,351,1119.0,133.0,52.0,894,1556.0,164.0
allendu01,27,28,5,7,2,0,2,2.0,0.0,0.0,4,12.0,1.0
allenet01,1281,4418,623,1325,255,45,47,501.0,84.0,4.0,223,310.0,38.0
allenfr01,181,288,23,39,8,6,2,25.0,1.0,0.0,35,126.0,0.0
allenga01,416,1061,114,235,49,2,19,131.0,3.0,7.0,130,192.0,35.0
allengr01,221,557,77,133,22,6,8,57.0,32.0,6.0,30,129.0,8.0
allenha01,17,70,9,19,3,0,0,11.0,0.0,0.0,0,1.0,0.0
allenha02,389,881,104,212,27,9,6,57.0,15.0,9.0,49,128.0,30.0
allenhe01,1,3,0,2,0,0,0,0.0,0.0,0.0,0,0.0,0.0
allenho01,4,7,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0
allenja01,27,108,14,16,3,2,0,7.0,0.0,0.0,2,14.0,0.0
allenja02,86,273,23,61,10,0,4,21.0,6.0,5.0,33,52.0,8.0
allenje01,342,1031,155,268,49,8,15,114.0,42.0,20.0,104,228.0,9.0
allenjo01,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
allenjo02,365,716,82,124,12,3,4,64.0,1.0,0.0,33,155.0,8.0
allenki01,42,54,10,12,3,0,0,3.0,12.0,4.0,8,5.0,1.0
allenll01,159,40,2,8,1,0,1,1.0,0.0,0.0,0,14.0,1.0
allenlo01,12,4,1,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0
allenlu01,8,9,2,1,1,0,0,0.0,0.0,0.0,2,3.0,1.0
allenmy01,156,606,89,157,28,14,4,88.0,30.0,0.0,45,57.0,0.0
allenne01,434,115,3,15,2,2,0,7.0,0.0,0.0,3,51.0,0.0
allenni01,216,500,41,116,13,5,0,36.0,8.0,0.0,33,73.0,0.0
allenpe01,1,4,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
allenro01,7,11,2,1,0,0,1,1.0,0.0,0.0,3,5.0,1.0
allenro02,31,50,8,11,2,0,0,3.0,1.0,0.0,2,11.0,0.0
allensl01,14,23,3,3,1,0,0,1.0,0.0,0.0,1,4.0,0.0
alleyge01,1195,3927,442,999,140,44,55,342.0,63.0,30.0,300,622.0,95.0
alliebo01,21,45,4,8,1,0,1,2.0,0.0,0.0,1,6.0,1.0
alliega01,121,418,38,83,8,6,3,30.0,1.0,1.0,56,84.0,3.0
allisan01,22,92,9,15,2,0,0,10.0,0.0,0.0,1,2.0,0.0
allisar01,168,741,106,188,19,8,1,70.0,10.0,3.0,5,20.0,4.0
allisbi01,6,21,5,3,0,0,0,1.0,0.0,0.0,0,2.0,1.0
allisbo01,1541,5032,811,1281,216,53,256,796.0,84.0,50.0,795,1033.0,115.0
allisda01,11,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
allisdo01,318,1407,236,382,44,10,2,139.0,5.0,2.0,24,44.0,6.0
allisma01,45,76,3,9,0,0,0,1.0,0.0,0.0,2,9.0,0.0
allismi01,49,60,15,13,0,0,0,0.0,4.0,0.0,15,9.0,0.0
allrebe01,65,165,19,38,7,0,4,15.0,2.0,2.0,29,48.0,1.0
almadme01,646,2483,363,706,107,27,15,197.0,56.0,27.0,214,150.0,4.0
almanar01,254,4,0,0,0,0,0,0.0,0.0,0.0,0,2.0,1.0
almanca01,210,4,0,0,0,0,0,0.0,0.0,0.0,0,3.0,1.0
almeira01,102,285,32,77,13,6,3,46.0,7.0,0.0,25,40.0,0.0
almonab01,376,1038,141,246,58,13,18,97.0,25.0,8.0,91,269.0,26.0
almonbi01,1236,3330,390,846,138,25,36,296.0,128.0,60.0,250,636.0,53.0
almoned01,12,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0
almoner01,55,133,18,31,7,0,2,14.0,3.0,0.0,8,29.0,5.0
almonhe01,50,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0
almonmi01,19,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
almonye01,66,6,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0.0
almonzo01,47,142,11,30,4,0,2,12.0,4.0,1.0,6,33.0,3.0
almoral01,489,1224,160,332,63,4,28,134.0,4.0,4.0,67,227.0,33.0
alomalu01,116,48,2,8,1,0,0,3.0,0.0,0.0,1,17.0,1.0
alomaro01,2379,9073,1508,2724,504,80,210,1134.0,474.0,114.0,1032,1140.0,206.0
alomasa01,1481,4760,558,1168,126,19,13,282.0,227.0,80.0,302,482.0,58.0
alomasa02,1377,4530,520,1236,249,10,112,588.0,25.0,24.0,212,499.0,132.0
alonspe01,218,805,134,203,36,2,69,155.0,2.0,0.0,96,244.0,17.0
alonsyo01,1072,3362,391,872,181,2,100,426.0,22.0,8.0,366,648.0,94.0
aloufe01,2082,7339,985,2101,359,49,206,852.0,107.0,67.0,423,706.0,135.0
alouje01,1380,4345,448,1216,170,26,32,377.0,31.0,46.0,138,267.0,143.0
alouma01,1667,5789,780,1777,236,50,31,427.0,156.0,80.0,311,377.0,101.0
aloumo01,1942,7037,1109,2134,421,39,332,1287.0,106.0,37.0,737,894.0,195.0
alperwh01,450,1632,134,387,60,36,7,141.0,27.0,0.0,30,183.0,0.0
alstode01,189,332,48,79,7,4,3,35.0,20.0,21.0,28,44.0,4.0
alstoga01,6,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
alstoto01,91,271,30,66,15,2,4,36.0,3.0,5.0,25,46.0,6.0
alstowa01,1,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0
altampo01,65,8,1,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0
altavda01,117,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
altener01,14,3,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
altenje01,19,31,3,9,1,1,0,3.0,0.0,0.0,1,5.0,0.0
altheaa01,359,1016,142,222,54,10,37,150.0,21.0,10.0,110,332.0,33.0
altizda01,514,1734,204,433,36,21,4,116.0,119.0,0.0,140,120.0,0.0
altmage01,991,3091,409,832,132,34,101,403.0,52.0,22.0,268,572.0,43.0
altobjo01,166,257,27,54,8,3,5,28.0,3.0,3.0,23,42.0,3.0
altroni01,230,550,52,97,9,1,2,27.0,5.0,1.0,29,91.0,0.0
altuvjo01,1291,5177,766,1610,308,28,133,556.0,256.0,77.0,377,662.0,149.0
alusige01,298,652,75,167,31,2,23,93.0,1.0,2.0,73,103.0,16.0
alvarab01,4,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0
alvarcl01,2,5,1,1,0,0,0,0.0,0.0,0.0,0,1.0,0.0
alvarda01,56,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
alvarda02,14,32,3,8,2,0,1,1.0,0.0,0.0,3,8.0,0.0
alvared01,12,37,6,7,1,0,0,2.0,2.0,0.0,3,16.0,0.0
alvarga01,92,266,22,59,15,0,7,33.0,1.0,4.0,24,76.0,2.0
alvarhe01,95,100,5,22,4,0,1,9.0,0.0,0.0,1,36.0,0.0
alvarjo01,99,11,0,3,0,0,0,0.0,0.0,0.0,1,2.0,0.0
alvarjo02,359,2,0,0,0,0,0,0.0,0.0,0.0,1,0.0,0.0
alvarjo03,149,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
alvarju01,80,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
alvarlu01,463,1160,116,248,43,4,5,84.0,11.0,10.0,49,160.0,27.0
alvaror01,25,51,4,8,2,0,2,8.0,0.0,0.0,0,5.0,0.0
alvaros01,95,198,20,42,3,0,0,5.0,1.0,1.0,16,27.0,1.0
alvarpe01,910,2980,365,704,131,6,162,472.0,15.0,3.0,314,952.0,71.0
alvarrj01,31,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
alvarro01,17,37,2,7,0,0,0,2.0,0.0,0.0,1,13.0,0.0
alvarta01,19,16,1,2,0,0,0,0.0,0.0,0.0,0,5.0,0.0
alvarto01,38,64,11,16,4,0,2,10.0,1.0,0.0,7,12.0,1.0
alvarvi01,9,2,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0
alvarwi01,355,95,6,13,0,0,0,1.0,0.0,0.0,4,33.0,4.0
alvaryo01,89,321,60,100,26,0,28,82.0,0.0,0.0,52,95.0,10.0
alvisma01,1013,3629,421,895,142,22,111,373.0,43.0,46.0,262,662.0,70.0
alvorbi01,265,1069,129,270,31,30,3,109.0,27.0,0.0,44,83.0,0.0
alyeabr01,371,866,100,214,33,2,38,148.0,5.0,7.0,100,210.0,36.0
alzolad01,10,5,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0
amalfjo01,643,1715,248,418,67,19,9,123.0,19.0,26.0,185,224.0,37.0
amarari01,727,1788,305,493,82,10,11,159.0,112.0,39.0,176,277.0,37.0
amarial01,702,1750,171,404,67,16,21,169.0,39.0,10.0,109,295.0,32.0
amaroru01,940,2155,211,505,75,13,8,156.0,11.0,14.0,227,280.0,53.0
amaroru02,485,927,99,218,43,9,16,100.0,15.0,10.0,88,128.0,22.0
amblewa01,271,782,60,175,39,2,0,73.0,4.0,1.0,83,64.0,10.0
ambrech01,80,189,28,44,9,0,4,10.0,4.0,2.0,23,48.0,5.0
ambrihe01,96,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
amelued01,42,57,7,11,0,0,0,4.0,3.0,2.0,2,8.0,2.0
