playerID,f_G,f_GS,f_InnOuts,f_PO,f_A,f_E,f_DP
adamsjo02,44,11.0,331.0,9,15,3.0,0
adamska01,30,0.0,0.0,2,33,3.0,0
adamsla01,51,15.0,625.0,60,1,2.0,0
adamsma01,604,545.0,14286.0,4313,361,39.0,404
adamsmi01,11,4.0,76.0,2,3,0.0,0
adamsmi02,44,27.0,763.0,57,8,1.0,2
adamsmi03,408,0.0,1222.0,32,43,1.0,4
adamsre01,8,0.0,0.0,0,5,1.0,1
adamsri01,11,6.0,189.0,4,20,2.0,0
adamsri02,113,67.0,1978.0,99,254,14.0,46
adamsru01,262,225.0,6078.0,331,573,46.0,113
adamsry01,26,24.0,639.0,47,62,2.0,16
adamssp01,1384,0.0,0.0,2287,3748,230.0,597
adamssp02,130,0.0,0.0,225,263,34.0,46
adamste01,574,41.0,2608.0,87,130,14.0,6
adamswi01,65,0.0,0.0,9,71,3.0,2
adamswi02,25,24.0,404.0,7,16,0.0,0
adcocjo01,1811,1299.0,32684.0,13678,900,102.0,1234
adcocna01,56,5.0,369.0,10,16,3.0,0
addisbo01,135,0.0,0.0,281,10,4.0,4
adducji01,42,21.0,682.0,137,13,1.0,6
adducji02,118,97.0,2545.0,501,18,8.0,25
addybo01,276,75.0,7392.0,478,306,207.0,21
adelljo01,38,33.0,885.0,72,2,3.0,0
adenhni01,4,4.0,54.0,0,1,0.0,0
aderhmo01,57,0.0,0.0,125,26,14.0,5
adkinde01,38,0.0,0.0,9,18,2.0,1
adkindi01,3,0.0,0.0,2,5,1.0,1
adkindo01,6,0.0,81.0,0,7,0.0,0
adkingr01,67,0.0,0.0,19,88,5.0,2
adkinhe01,1,0.0,30.0,2,0,1.0,0
adkinjo01,119,0.0,416.0,7,23,2.0,3
adkinst01,5,5.0,72.0,0,3,0.0,0
adlemti01,43,33.0,576.0,21,19,0.0,1
adlesda01,90,65.0,1840.0,453,26,4.0,2
adriaeh01,411,280.0,8011.0,474,679,29.0,142
afenitr01,41,20.0,613.0,123,5,1.0,3
affelje01,774,42.0,2778.0,45,184,13.0,13
agbaybe01,333,289.0,7109.0,482,8,13.0,0
ageeto01,1073,962.0,26463.0,2371,53,61.0,18
agganha01,139,129.0,3568.0,1272,103,15.0,116
aglerjo01,217,0.0,0.0,1457,111,31.0,91
agnewsa01,551,0.0,0.0,2034,773,132.0,67
agostju01,543,2.0,1879.0,58,158,14.0,13
agrazda01,15,14.0,220.0,5,6,1.0,1
aguaylu01,503,268.0,8181.0,483,867,54.0,148
aguilch01,99,39.0,1323.0,103,5,2.0,0
aguilje01,348,283.0,7621.0,2212,202,19.0,249
aguilri01,732,89.0,3874.0,99,177,5.0,9
aguirha01,447,149.0,4124.0,48,167,28.0,6
ahearch01,1,0.0,33.0,2,5,2.0,0
ahearpa01,4,3.0,30.0,3,1,0.0,0
ahmedni01,648,601.0,16253.0,805,1791,59.0,397
aikenwi01,547,532.0,13403.0,4425,300,42.0,430
aingeda01,208,188.0,4973.0,355,419,24.0,90
ainsmed01,996,27.0,750.0,4410,1088,193.0,96
ainswku01,29,22.0,380.0,8,16,0.0,1
aitchra01,34,0.0,0.0,9,42,7.0,0
aitonge01,7,0.0,0.0,10,1,1.0,0
akejo01,13,0.0,339.0,10,15,10.0,2
akerfda01,125,13.0,701.0,5,40,3.0,1
akerja01,495,0.0,2240.0,65,167,8.0,20
akersbi01,152,0.0,0.0,235,329,41.0,68
akersje01,5,0.0,0.0,1,1,1.0,0
akinke01,8,6.0,77.0,1,2,0.0,0
akiyash01,52,47.0,1143.0,87,2,0.0,0
alanirj01,12,0.0,47.0,2,2,1.0,0
albagi01,3,0.0,10.0,0,0,0.0,0
albaljo01,66,0.0,230.0,1,10,0.0,0
albanjo01,6,0.0,18.0,0,2,0.0,0
alberan01,26,18.0,362.0,6,17,0.0,2
albercy01,4,3.0,84.0,1,3,0.0,0
albergu01,120,0.0,3066.0,145,316,71.0,27
alberha01,299,225.0,6055.0,361,568,16.0,137
alberjo01,27,5.0,175.0,6,11,1.0,1
alberma01,616,24.0,2277.0,41,99,8.0,11
albieoz01,401,393.0,10550.0,656,978,19.0,258
albosed01,19,0.0,0.0,2,11,0.0,1
albreed01,3,0.0,0.0,0,2,0.0,0
albrija01,33,0.0,0.0,48,85,8.0,15
albural01,264,0.0,735.0,18,28,1.0,3
alburvi01,101,37.0,1118.0,10,52,2.0,7
alcaljo01,18,0.0,77.0,2,1,0.0,0
alcalsa01,68,33.0,748.0,16,28,1.0,0
alcanar01,130,91.0,2684.0,203,123,10.0,16
alcanis01,33,18.0,527.0,62,3,4.0,3
alcanra01,13,9.0,139.0,0,3,1.0,0
alcansa01,53,45.0,845.0,13,29,5.0,2
alcanse01,12,7.0,186.0,7,10,2.0,3
alcanvi01,79,0.0,240.0,3,8,1.0,0
alcarlu01,104,96.0,2594.0,209,240,10.0,44
alcocsc01,49,0.0,0.0,61,96,16.0,11
alderda01,16,0.0,0.0,2,11,0.0,1
aldremi01,696,502.0,13601.0,2388,159,19.0,187
aldresc01,229,67.0,1499.0,21,64,3.0,5
aldrico01,9,4.0,123.0,7,0,0.0,0
aldrija01,62,0.0,326.0,12,11,2.0,1
aldrivi01,248,0.0,0.0,26,354,12.0,19
alenoch01,95,0.0,0.0,137,153,12.0,17
alexabo01,9,0.0,33.0,0,0,0.0,0
alexada01,621,0.0,0.0,5769,328,71.0,502
alexado01,561,464.0,10101.0,264,521,32.0,36
alexaga01,258,227.0,5981.0,1091,106,38.0,12
alexage01,36,11.0,294.0,7,14,0.0,3
alexahu01,3,0.0,0.0,2,0,1.0,0
alexama01,138,37.0,1260.0,88,29,4.0,4
alexama02,534,303.0,8880.0,499,858,53.0,161
alexani01,23,0.0,504.0,81,43,14.0,0
alexape01,697,0.0,0.0,189,1419,25.0,50
alexasc01,193,1.0,569.0,11,32,4.0,3
alexaty01,27,10.0,270.0,3,9,0.0,1
alexawa01,152,0.0,0.0,579,220,34.0,18
alfarja01,3,2.0,50.0,2,3,0.0,1
alfarjo01,288,269.0,7044.0,2255,137,27.0,18
alfonan01,592,0.0,1839.0,31,84,4.0,8
alfoned01,1474,1367.0,36251.0,1644,3022,106.0,447
alfonel01,164,150.0,4035.0,1059,76,17.0,10
alforan01,41,23.0,642.0,43,0,1.0,1
alicelu01,1127,971.0,26342.0,2020,2848,142.0,632
allanan01,505,453.0,11998.0,2410,208,52.0,26
allarbr01,19,13.0,287.0,7,12,2.0,1
allarko01,23,18.0,261.0,3,2,2.0,0
allenau01,35,23.0,642.0,207,12,1.0,3
allenbe01,1023,910.0,24078.0,2031,2347,100.0,558
allenbo01,607,0.0,16119.0,1406,2174,330.0,278
allenbo02,6,0.0,0.0,8,0,1.0,0
allenbo03,3,0.0,0.0,0,0,2.0,0
allenbo04,204,0.0,822.0,16,51,4.0,4
allenbr01,107,99.0,2577.0,741,37,6.0,59
allench01,202,189.0,4943.0,382,15,9.0,5
allenco01,481,0.0,1391.0,14,32,3.0,2
allendi01,1722,1690.0,43662.0,7658,1711,245.0,756
allendu01,22,5.0,198.0,49,1,0.0,5
allenet01,1123,0.0,0.0,2746,103,56.0,23
allenfr01,180,0.0,0.0,31,226,18.0,3
allenga01,407,343.0,9013.0,1766,150,32.0,26
allengr01,211,139.0,4272.0,355,9,3.0,1
allenha01,23,16.0,462.0,22,40,17.0,3
allenha02,330,189.0,5855.0,460,95,25.0,20
allenhe01,1,0.0,15.0,2,0,0.0,1
allenho01,2,0.0,0.0,2,1,0.0,0
allenja01,27,0.0,699.0,48,37,21.0,2
allenja02,82,77.0,2039.0,55,155,9.0,16
allenje01,322,253.0,7102.0,596,14,11.0,5
allenjo01,1,0.0,0.0,0,1,0.0,0
allenjo02,352,0.0,0.0,104,366,21.0,24
allenki01,24,14.0,414.0,27,42,2.0,8
allenll01,159,19.0,891.0,15,46,3.0,5
allenlo01,12,4.0,115.0,1,8,0.0,1
allenlu01,3,1.0,48.0,4,0,0.0,0
allenmy01,161,0.0,4296.0,306,52,38.0,8
allenne01,434,59.0,2965.0,75,120,4.0,4
allenni01,189,0.0,0.0,707,240,42.0,28
allenpe01,1,0.0,15.0,1,0,0.0,0
allenro01,5,2.0,78.0,29,1,1.0,1
allenro02,4,2.0,57.0,7,0,0.0,0
allensl01,13,6.0,231.0,21,7,3.0,0
alleyge01,1138,1038.0,28083.0,1879,3641,166.0,805
alliebo01,21,13.0,366.0,92,6,0.0,0
alliega01,114,110.0,2855.0,211,295,26.0,59
allisan01,23,19.0,594.0,224,2,19.0,6
allisar01,174,47.0,4779.0,595,47,95.0,15
allisbi01,6,5.0,186.0,28,7,10.0,0
allisbo01,1465,1376.0,36211.0,3546,162,84.0,108
allisda01,11,0.0,33.0,0,0,0.0,0
allisdo01,345,131.0,8175.0,1328,269,237.0,24
allisma01,45,0.0,0.0,6,60,6.0,2
allismi01,17,0.0,0.0,20,1,0.0,0
allrebe01,51,46.0,1186.0,121,2,4.0,1
almadme01,614,0.0,0.0,1514,72,49.0,16
almanar01,254,0.0,644.0,6,20,1.0,2
almanca01,210,1.0,717.0,9,34,3.0,2
almeira01,87,0.0,0.0,100,150,28.0,12
almonab01,308,257.0,6996.0,543,20,15.0,5
almonbi01,1188,845.0,23401.0,1834,2265,173.0,435
almoned01,12,0.0,34.0,0,3,0.0,0
almoner01,44,35.0,928.0,58,70,13.0,14
almonhe01,50,0.0,155.0,3,6,0.0,1
almonmi01,19,0.0,53.0,1,2,0.0,0
almonye01,66,0.0,229.0,5,4,0.0,0
almonzo01,38,35.0,950.0,75,1,0.0,0
almoral01,437,267.0,7985.0,732,11,7.0,2
alomalu01,116,0.0,0.0,15,28,0.0,1
alomaro01,2325,2288.0,59751.0,4463,6536,183.0,1411
alomasa01,1418,1225.0,32911.0,2889,3463,158.0,817
alomasa02,1325,1203.0,31917.0,7667,464,86.0,72
alonspe01,195,190.0,4945.0,1342,126,17.0,129
alonsyo01,911,830.0,22074.0,6791,470,50.0,593
aloufe01,2006,1742.0,47576.0,6537,322,96.0,330
alouje01,1051,929.0,25099.0,1693,63,58.0,16
alouma01,1481,1301.0,35642.0,3794,176,71.0,155
aloumo01,1864,1812.0,46996.0,3114,95,65.0,20
alperwh01,435,421.0,11439.0,1013,1257,156.0,114
alstode01,117,65.0,1986.0,172,4,7.0,2
alstoga01,6,0.0,18.0,0,1,0.0,0
alstoto01,81,65.0,1845.0,605,75,9.0,63
alstowa01,1,0.0,0.0,1,0,1.0,0
altampo01,65,0.0,275.0,4,20,1.0,0
altavda01,117,0.0,344.0,4,12,0.0,0
altener01,14,0.0,0.0,3,6,0.0,0
altenje01,12,0.0,0.0,9,0,0.0,0
altheaa01,312,247.0,6915.0,534,15,6.0,6
altizda01,484,448.0,11862.0,1712,896,132.0,119
altmage01,830,762.0,20328.0,1792,77,36.0,45
altobjo01,130,57.0,1839.0,436,21,5.0,30
altroni01,227,142.0,4512.0,181,610,31.0,23
altuvjo01,1254,1239.0,32443.0,1883,3173,77.0,715
alusige01,172,141.0,3868.0,338,14,5.0,11
alvarab01,4,1.0,31.0,1,1,0.0,0
alvarcl01,2,1.0,24.0,10,0,0.0,0
alvarda01,56,0.0,144.0,0,3,0.0,0
alvarda02,13,11.0,273.0,17,1,0.0,1
alvared01,13,10.0,268.0,12,24,0.0,6
alvarga01,67,55.0,1512.0,41,95,19.0,6
alvarhe01,95,95.0,1733.0,56,112,9.0,9
alvarjo01,98,0.0,487.0,16,27,0.0,5
alvarjo02,359,7.0,1022.0,22,51,1.0,6
alvarjo03,150,1.0,399.0,4,13,1.0,1
alvarju01,80,0.0,181.0,8,8,0.0,2
alvarlu01,426,310.0,8628.0,538,967,60.0,169
alvaror01,12,9.0,243.0,13,1,0.0,1
alvaros01,81,61.0,1638.0,126,183,10.0,38
alvarpe01,706,679.0,17547.0,1352,1285,138.0,213
alvarrj01,31,0.0,84.0,2,3,0.0,0
alvarro01,15,8.0,252.0,90,4,2.0,9
alvarta01,19,13.0,175.0,5,7,1.0,2
alvarto01,24,16.0,440.0,27,0,0.0,0
alvarvi01,9,1.0,48.0,0,1,0.0,0
alvarwi01,355,263.0,5243.0,58,215,8.0,12
alvaryo01,10,9.0,198.0,9,1,1.0,0
alvisma01,972,944.0,25454.0,962,1693,123.0,144
alvorbi01,265,0.0,6918.0,445,643,181.0,41
alyeabr01,249,219.0,5106.0,348,17,10.0,1
alzolad01,10,6.0,101.0,2,4,1.0,0
amalfjo01,505,408.0,11220.0,868,1149,71.0,222
amarari01,645,416.0,11744.0,962,552,34.0,131
amarial01,637,423.0,12067.0,773,891,39.0,175
amaroru01,948,631.0,17959.0,1532,1864,108.0,421
amaroru02,332,160.0,5380.0,466,17,6.0,4
amblewa01,272,0.0,0.0,478,683,62.0,126
ambrech01,58,43.0,1204.0,102,2,2.0,0
ambrihe01,96,0.0,318.0,4,19,0.0,1
amelued01,27,9.0,353.0,36,0,0.0,0
amesre01,533,160.0,4128.0,107,1000,74.0,25
amesst01,4,0.0,12.0,1,0,0.0,0
amezaal01,543,327.0,9672.0,838,430,26.0,71
amoledo01,18,0.0,357.0,6,35,6.0,0
amorosa01,354,316.0,8621.0,635,22,16.0,2
amorvi01,13,4.0,100.0,2,7,0.0,0
anckewa01,4,0.0,0.0,1,5,0.0,1
anderal01,106,0.0,0.0,173,264,30.0,46
anderal02,148,128.0,2456.0,41,131,4.0,12
anderan01,93,0.0,0.0,118,152,15.0,38
anderbi01,2,0.0,0.0,0,0,0.0,0
anderbo01,246,93.0,2519.0,46,165,13.0,14
anderbr01,1691,1585.0,42504.0,3713,60,42.0,16
anderbr02,291,245.0,4641.0,76,313,18.0,21
anderbr03,335,209.0,6257.0,562,7,5.0,3
anderbr04,198,186.0,3133.0,18,192,7.0,10
anderbr05,24,16.0,430.0,113,9,4.0,1
anderbr06,367,349.0,9205.0,411,380,28.0,37
anderbu01,64,6.0,447.0,13,14,3.0,0
anderch01,176,167.0,2672.0,44,99,7.0,6
anderco01,39,26.0,482.0,12,20,1.0,3
andercr01,82,17.0,577.0,12,48,3.0,4
anderda01,21,0.0,450.0,3,52,1.0,0
anderda02,788,510.0,14968.0,894,1556,73.0,274
anderdr01,2,1.0,28.0,1,0,0.0,0
anderdr02,10,1.0,67.0,1,2,1.0,0
anderdw01,126,71.0,2189.0,138,220,25.0,37
anderfe01,82,0.0,0.0,290,39,11.0,5
anderfr01,178,1.0,24.0,23,267,9.0,5
anderga01,1913,1885.0,49549.0,4057,109,48.0,18
anderge01,261,0.0,0.0,438,34,24.0,8
andergo01,122,114.0,3111.0,215,23,13.0,5
anderha01,9,0.0,0.0,21,1,0.0,1
anderha02,429,409.0,10697.0,1251,69,24.0,54
anderia01,6,6.0,97.0,2,1,1.0,0
anderja01,32,0.0,114.0,1,2,0.0,0
anderji01,409,279.0,7885.0,504,903,68.0,181
anderji02,122,96.0,1724.0,24,118,5.0,8
anderjo01,1610,595.0,41697.0,8078,444,244.0,362
anderjo02,24,1.0,134.0,3,10,0.0,0
anderjo03,161,115.0,3293.0,268,7,6.0,1
anderju01,111,0.0,307.0,7,8,1.0,1
anderke01,133,117.0,3055.0,177,362,19.0,82
anderla01,16,1.0,124.0,4,5,0.0,0
anderla02,699,1.0,2986.0,97,151,25.0,14
anderla03,30,12.0,414.0,113,12,1.0,10
anderma01,257,0.0,770.0,16,23,2.0,1
anderma02,851,752.0,19437.0,1619,1754,83.0,434
andermi01,628,373.0,11135.0,969,43,21.0,11
andermi02,3,0.0,16.0,0,1,0.0,0
anderni01,87,0.0,244.0,3,4,1.0,0
anderre01,36,0.0,0.0,3,24,1.0,2
anderri01,6,2.0,36.0,0,3,1.0,0
anderri02,28,10.0,290.0,10,10,0.0,0
andersc01,18,7.0,164.0,4,8,0.0,1
andersh01,46,16.0,334.0,11,16,2.0,2
andersp01,152,145.0,3734.0,343,403,12.0,70
anderta01,11,5.0,101.0,4,6,0.0,0
anderti01,565,565.0,14761.0,774,1432,94.0,305
anderty01,86,82.0,1370.0,16,71,6.0,7
anderva01,37,0.0,750.0,11,54,12.0,4
anderwa01,17,0.0,0.0,4,13,1.0,0
anderwi01,7,2.0,51.0,2,0,0.0,0
andinro01,458,361.0,10049.0,605,1033,39.0,238
andrast01,4,0.0,14.0,0,1,0.0,0
andrecl01,8,2.0,62.0,0,1,0.0,0
andreed01,779,0.0,20217.0,1534,486,220.0,59
andreel01,6,0.0,0.0,0,2,0.0,0
andreer01,15,0.0,0.0,8,25,0.0,1
andrefr01,11,7.0,210.0,23,21,0.0,7
andrehu01,8,0.0,0.0,0,4,0.0,0
andreiv01,249,0.0,0.0,30,174,9.0,13
andreji01,53,0.0,1425.0,80,10,10.0,1
andrejo01,22,3.0,135.0,2,6,0.0,0
andrejo02,16,0.0,55.0,1,1,0.0,0
andrejo03,21,18.0,464.0,37,0,0.0,0
andreki01,2,0.0,12.0,1,1,0.0,0
andremi01,842,805.0,21107.0,2147,1978,113.0,464
andrena01,127,0.0,0.0,34,179,5.0,7
andrero01,444,369.0,10117.0,866,1156,59.0,243
andresh01,559,465.0,12466.0,587,991,76.0,102
andrest01,61,0.0,0.0,154,26,12.0,2
andrewa01,40,0.0,1068.0,381,22,11.0,19
andrima01,183,50.0,1382.0,36,38,4.0,3
andrubi01,3,0.0,0.0,1,2,1.0,1
andruel01,1628,1605.0,42418.0,2529,4487,194.0,1064
andrufr01,9,0.0,183.0,5,3,2.0,0
andruwi01,1,0.0,30.0,2,3,0.0,0
andujjo01,405,305.0,6459.0,142,437,54.0,28
andujlu01,35,20.0,370.0,3,11,0.0,0
andujmi01,156,148.0,3856.0,102,191,22.0,8
angelno01,28,0.0,59.0,2,1,0.0,0
anglema01,29,20.0,596.0,62,0,2.0,0
angleto01,5,0.0,0.0,23,7,1.0,0
ankenpa01,15,0.0,0.0,15,26,3.0,3
ankieri01,587,488.0,13071.0,1119,52,31.0,7
annade01,13,7.0,201.0,5,19,1.0,1
annisbi01,27,0.0,555.0,22,5,3.0,1
ansonca01,2593,126.0,66888.0,22572,1612,976.0,1283
anthoer01,564,517.0,13082.0,976,45,22.0,14
antoldu01,1,0.0,6.0,0,0,0.0,0
antoljo01,3,0.0,0.0,9,1,0.0,1
antonbi01,25,0.0,0.0,27,0,1.0,0
antonjo01,142,0.0,0.0,209,261,20.0,34
antonjo02,377,226.0,4978.0,72,342,21.0,24
antonma01,18,15.0,412.0,38,34,2.0,7
antonte01,13,4.0,106.0,6,2,0.0,1
aokino01,707,658.0,17205.0,1190,38,10.0,6
aparilu01,2583,2539.0,67221.0,4548,8016,366.0,1553
apodabo01,184,11.0,1084.0,28,69,4.0,5
apontlu01,110,0.0,660.0,23,37,0.0,4
apostsh01,7,6.0,138.0,33,4,2.0,4
appieke01,414,402.0,7786.0,202,225,12.0,25
appleed01,48,0.0,0.0,9,44,5.0,1
applefr01,3,3.0,63.0,0,8,0.0,0
applepe01,342,0.0,0.0,58,266,12.0,25
applilu01,2359,0.0,0.0,4674,7543,672.0,1475
aquinar01,74,65.0,1727.0,119,3,2.0,0
aquingr01,145,0.0,463.0,14,23,0.0,2
aquinja01,7,2.0,47.0,0,0,1.0,0
aquinlu01,222,69.0,2035.0,54,117,5.0,19
aragoan01,23,0.0,0.0,27,30,4.0,2
aranovi01,73,0.0,224.0,1,7,0.0,0
araujel01,72,0.0,186.0,2,9,0.0,2
araujpe01,21,0.0,86.0,6,3,0.0,0
arauzjo01,26,17.0,498.0,33,43,2.0,14
archdma01,98,0.0,0.0,219,9,12.0,2
archech01,212,210.0,3705.0,59,105,14.0,7
archefr01,7,0.0,0.0,1,7,0.0,1
archeji01,804,182.0,4836.0,3861,1012,142.0,112
archeji02,57,28.0,699.0,8,39,3.0,2
archige01,107,0.0,0.0,375,180,19.0,42
arciafr01,37,26.0,696.0,196,16,2.0,4
arciajo01,256,158.0,4441.0,380,460,32.0,94
arciaor01,531,473.0,12732.0,771,1288,57.0,296
arciaos01,258,247.0,6413.0,500,16,10.0,2
ardelda01,1,1.0,27.0,13,0,0.0,1
ardizru01,1,0.0,0.0,0,1,0.0,0
ardnejo01,110,0.0,2871.0,260,328,60.0,48
ardoida01,165,132.0,3545.0,918,85,12.0,10
arellfr01,74,49.0,1230.0,17,128,12.0,5
arenano01,1069,1061.0,27675.0,725,2429,91.0,284
arencjp01,423,391.0,10491.0,2835,213,26.0,29
arftha01,260,0.0,0.0,2182,184,18.0,251
ariasal01,585,399.0,11343.0,645,1022,47.0,184
ariasal02,63,2.0,224.0,7,11,4.0,3
ariasge01,157,134.0,3548.0,98,321,21.0,26
ariasjo01,420,232.0,6856.0,477,583,27.0,132
ariasru01,34,0.0,132.0,3,10,0.0,0
arletbu01,107,0.0,0.0,303,21,13.0,11
arlicdo01,8,1.0,30.0,0,1,0.0,0
arlinst01,141,123.0,2368.0,55,96,9.0,8
armasma01,13,7.0,228.0,77,4,0.0,4
armasto01,1309,1239.0,32666.0,3095,79,61.0,19
armasto02,185,168.0,2777.0,59,115,5.0,10
armbrch01,124,116.0,3021.0,513,167,36.0,10
armbred01,96,44.0,1362.0,91,8,8.0,2
armbrha01,74,69.0,1845.0,124,9,4.0,1
armbror01,3,0.0,0.0,1,6,0.0,0
armenro01,5,2.0,54.0,1,1,0.0,0
armstbo01,12,12.0,345.0,29,2,7.0,0
armstge01,4,0.0,0.0,4,1,0.0,1
armstho01,1,0.0,0.0,0,2,0.0,0
armstja01,152,130.0,2360.0,62,111,8.0,5
armstmi01,197,1.0,1014.0,28,28,4.0,3
armstsh01,122,0.0,393.0,3,9,1.0,0
arndtha01,265,180.0,6813.0,494,458,51.0,46
arndtla01,2,2.0,48.0,8,2,0.0,3
arnolbi01,2,2.0,39.0,2,0,0.0,0
arnolch01,103,70.0,1973.0,140,190,11.0,33
arnolja01,50,7.0,325.0,5,22,2.0,5
arnolsc01,6,0.0,20.0,0,1,0.0,0
arnolto01,38,0.0,235.0,9,26,0.0,2
arnovmo01,544,0.0,0.0,1260,52,25.0,5
arnsbbr01,94,4.0,475.0,13,27,1.0,4
arntzor01,32,0.0,0.0,7,19,3.0,4
arochre01,124,35.0,993.0,15,52,4.0,3
arojo01,7,0.0,33.0,1,0,0.0,0
arozara01,28,17.0,470.0,28,2,0.0,1
arraelu01,126,109.0,2925.0,151,189,6.0,47
arredjo01,214,0.0,660.0,24,14,1.0,1
arrieja01,261,255.0,4541.0,133,248,27.0,24
arrigge01,194,80.0,1859.0,15,92,4.0,3
arrojro01,158,105.0,2100.0,71,110,10.0,18
arroybr01,419,383.0,7307.0,221,325,16.0,22
arroych01,79,75.0,1966.0,75,162,6.0,30
arroyfe01,121,60.0,1607.0,41,118,3.0,8
arroylu01,244,36.0,1594.0,14,69,7.0,0
arroyru01,9,0.0,36.0,0,1,0.0,0
arrueer01,21,9.0,348.0,14,26,3.0,6
arteahu01,40,33.0,895.0,45,81,3.0,14
arundha01,18,0.0,411.0,5,58,5.0,0
arundtu01,78,0.0,1950.0,339,110,61.0,8
asadora01,17,15.0,395.0,12,31,5.0,1
asbelji01,10,0.0,0.0,14,1,0.0,1
asbjoca01,68,0.0,0.0,156,36,8.0,5
ascanjo01,43,0.0,138.0,2,6,1.0,0
ascheco01,331,317.0,8182.0,345,396,32.0,36
asencmi01,42,30.0,538.0,18,18,2.0,2
