playerID,p_W,p_L,p_G,p_GS,p_CG,p_SHO,p_SV,p_IPouts,p_H,p_ER,p_HR,p_BB,p_SO,p_ERA,p_WP,p_BK,p_BFP,p_GF,p_R
adamska01,1,9,30,12,3,0,0,345,119,64,5,48,62,13.71,4,0,503.0,14,72
adamsmi01,0,4,11,4,0,0,0,76,28,21,3,22,14,22.270000000000003,2,1,122.0,2,22
adamsmi03,21,20,408,0,0,0,4,1222,316,109,33,126,409,35.99,7,0,1653.0,60,122
adamsre01,0,1,8,0,0,0,0,36,18,11,1,7,8,8.25,0,0,59.0,4,12
adamsri01,2,5,11,6,3,1,0,188,63,25,1,24,25,3.59,0,0,271.0,5,30
adamste01,51,62,574,41,0,0,42,2608,890,403,63,380,691,60.07,54,6,3801.0,201,448
adamswi01,8,16,65,21,8,0,2,853,303,138,8,144,74,25.9,8,0,1238.0,30,172
adamswi02,6,9,25,24,1,1,0,404,149,87,20,55,105,12.19,4,0,611.0,0,92
adcocna01,2,6,56,5,0,0,1,369,126,57,14,56,80,17.46,6,1,541.0,14,64
adenhni01,1,0,4,4,0,0,0,54,25,12,0,16,9,9.0,3,0,90.0,0,12
adkinde01,2,4,38,6,1,0,0,297,114,62,10,50,47,18.24,3,0,451.0,19,69
adkindo01,1,1,6,3,1,0,1,81,40,15,2,12,3,11.76,0,0,130.0,3,28
adkingr01,12,27,67,42,19,0,1,1089,403,175,24,156,78,9.06,4,0,1626.0,18,211
adkinjo01,5,5,119,0,0,0,0,416,155,70,18,54,81,24.540000000000003,1,0,605.0,40,75
adkinst01,1,2,5,5,0,0,0,72,19,17,4,29,14,6.38,2,0,115.0,0,18
adlemti01,9,15,43,33,0,0,0,576,188,106,42,71,155,9.52,1,1,818.0,4,111
adriaeh01,0,0,2,0,0,0,0,6,6,4,1,0,1,36.0,0,0,13.0,2,4
affelje01,43,46,774,42,0,0,28,2778,904,408,76,396,720,61.519999999999996,55,9,4034.0,162,455
agostju01,40,33,543,2,0,0,29,1879,639,279,30,248,307,85.14999999999999,21,7,2713.0,198,313
agrazda01,4,5,15,14,0,0,0,220,82,40,15,18,41,4.91,0,0,321.0,0,43
aguilri01,86,81,732,89,10,0,318,3874,1233,512,138,351,1030,66.43,53,10,5391.0,557,568
aguirha01,75,72,447,149,44,9,33,4127,1216,496,123,479,856,51.39,35,9,5790.0,124,562
ahearpa01,0,2,4,3,0,0,0,30,20,13,2,5,4,11.7,1,0,55.0,0,13
ainsmed01,0,0,1,0,0,0,0,1,2,2,0,0,0,54.0,0,0,3.0,0,2
ainswku01,6,8,29,22,0,0,0,380,136,73,16,61,90,40.67,7,0,569.0,4,78
aitchra01,12,12,34,22,10,3,0,619,193,69,7,67,101,7.62,9,0,873.0,8,98
akerfda01,9,10,125,13,1,0,3,701,216,132,36,127,129,25.8,21,1,1047.0,33,146
akerja01,47,45,495,0,0,0,123,2238,679,272,64,274,404,53.96,13,0,3144.0,321,312
akersje01,1,1,5,1,0,0,0,61,24,11,1,15,11,4.87,0,0,97.0,3,17
akinke01,1,2,8,6,0,0,0,77,27,13,3,10,35,4.56,0,1,116.0,0,17
alanirj01,1,0,12,0,0,0,0,47,19,16,3,7,13,25.65,0,1,71.0,4,17
albagi01,0,0,3,0,0,0,0,10,1,1,0,2,3,2.7,0,0,14.0,1,2
albaljo01,6,3,66,0,0,0,0,230,77,37,10,32,56,24.04,0,1,332.0,13,40
albanjo01,0,0,6,0,0,0,0,18,8,3,1,2,3,4.5,0,0,27.0,6,3
alberan01,7,6,26,18,1,1,1,362,135,55,18,25,79,16.759999999999998,2,1,523.0,5,73
albercy01,1,2,4,3,2,0,0,83,35,19,1,20,10,6.18,1,0,126.0,1,22
alberha01,0,0,1,0,0,0,0,3,1,2,1,2,0,18.0,0,0,7.0,1,2
alberjo01,0,4,27,5,0,0,0,175,77,48,7,36,23,21.130000000000003,5,0,290.0,10,57
alberma01,47,48,616,24,0,0,7,2277,751,367,87,314,571,60.62,29,1,3288.0,145,399
albosed01,0,8,19,8,0,0,0,158,52,36,4,43,24,12.36,1,0,250.0,3,43
albreed01,1,1,3,2,1,0,0,35,7,7,0,11,2,10.8,0,0,52.0,1,10
albural01,17,8,264,0,0,0,1,735,187,86,17,135,291,23.09,20,8,1045.0,58,88
alburvi01,18,17,101,37,6,1,1,1118,338,170,36,220,193,14.93,21,1,1630.0,32,194
alcaljo01,2,1,18,0,0,0,0,77,22,7,3,9,28,2.63,1,0,101.0,10,8
alcalsa01,14,11,68,33,3,1,2,748,257,132,25,121,140,15.13,9,5,1103.0,11,138
alcanra01,2,5,13,9,0,0,0,139,53,37,14,16,26,14.379999999999999,1,2,211.0,2,39
alcansa01,11,19,53,45,2,2,0,845,248,116,32,125,230,14.64,5,2,1195.0,3,135
alcanvi01,4,3,79,0,0,0,0,240,82,38,14,25,50,15.84,6,0,340.0,19,40
alderda01,0,1,16,3,0,0,0,107,52,26,4,12,11,13.08,0,0,168.0,9,30
aldremi01,0,0,1,0,0,0,0,3,1,0,0,0,0,0.0,0,0,4.0,1,0
aldresc01,20,39,229,67,1,0,1,1499,581,334,78,230,312,73.96000000000001,30,2,2267.0,29,356
aldrija01,6,5,62,0,0,0,2,326,119,57,12,39,46,19.19,3,2,474.0,21,62
aldrivi01,97,80,248,205,102,8,6,4802,1671,668,87,512,526,31.86,24,0,6852.0,28,785
alexabo01,1,1,9,0,0,0,0,33,18,13,0,7,2,22.5,2,0,57.0,5,13
alexado01,194,174,561,464,98,18,3,10103,3376,1406,324,978,1528,88.66,74,10,14162.0,56,1541
alexage01,6,3,36,11,0,0,0,294,112,63,12,54,59,39.95,3,1,453.0,6,67
alexama02,0,0,1,0,0,0,0,2,1,5,1,4,0,67.5,0,0,7.0,1,5
alexape01,373,208,696,599,437,90,32,15570,4868,1476,164,951,2198,62.42,39,1,20928.0,80,1851
alexasc01,12,7,193,1,0,0,7,569,174,67,12,81,152,20.53,6,0,788.0,29,74
alexaty01,3,7,27,10,0,0,0,270,107,45,17,16,81,8.82,1,0,387.0,1,46
alfonan01,35,37,592,0,0,0,129,1839,677,280,55,250,400,47.94,13,2,2710.0,301,296
allarbr01,4,6,19,13,3,0,0,287,97,45,9,31,44,13.72,1,0,399.0,3,52
allarko01,5,9,23,18,0,0,0,261,102,65,10,43,68,25.09,2,1,407.0,2,67
allenbo03,0,1,3,1,0,0,0,36,18,9,2,8,8,6.75,0,0,64.0,1,12
allenbo04,7,12,204,0,0,0,19,822,288,125,23,132,199,21.47,18,2,1232.0,84,152
allenco01,24,31,481,0,0,0,153,1391,375,162,55,193,593,27.62,40,0,1943.0,291,179
allenfr01,50,67,180,127,60,10,3,2911,893,316,26,373,457,23.22,23,2,4014.0,31,411
allenjo01,0,0,1,0,0,0,0,6,2,4,0,2,2,18.0,0,0,0.0,1,4
allenjo02,142,75,352,241,109,17,18,5851,1849,813,104,738,1070,56.48,68,5,8292.0,68,924
allenll01,8,25,159,19,0,0,22,892,291,155,19,196,194,62.25,27,2,1366.0,75,183
allenlo01,2,3,12,4,0,0,0,115,48,23,5,20,24,10.129999999999999,1,0,176.0,5,24
allenmy01,1,3,5,3,3,0,0,107,34,7,0,7,3,4.5600000000000005,2,0,147.0,1,16
allenne01,58,70,434,59,7,6,75,2965,985,426,73,417,611,66.76,39,3,4248.0,222,464
allisda01,1,1,11,0,0,0,0,33,16,9,0,5,4,7.36,0,0,49.0,4,9
allisdo01,0,0,1,0,0,0,0,15,11,1,0,1,0,1.8,0,0,26.0,1,5
allisma01,9,21,45,27,17,1,1,740,247,87,4,67,57,7.949999999999999,9,1,990.0,12,135
almanar01,14,13,254,0,0,0,2,644,189,115,34,136,232,30.25,8,4,951.0,49,123
almanca01,13,13,210,1,0,0,0,717,252,128,35,82,170,43.71,10,0,1044.0,63,134
almoned01,0,0,12,0,0,0,0,34,21,14,3,5,7,11.12,1,0,57.0,3,15
almonhe01,1,4,50,0,0,0,0,155,63,36,6,30,40,19.25,8,0,243.0,15,36
almonmi01,0,2,19,0,0,0,0,53,21,17,5,12,17,30.02,1,0,87.0,7,17
almonye01,3,1,66,0,0,0,1,229,79,33,10,24,66,10.33,2,0,330.0,13,40
alomalu01,18,3,116,1,1,1,15,706,212,90,21,111,115,14.600000000000001,5,2,1001.0,55,98
alouma01,0,0,1,0,0,0,0,6,3,0,0,1,3,0.0,0,0,10.0,1,0
alstoga01,1,0,6,0,0,0,0,18,9,6,1,3,5,9.0,1,0,30.0,4,6
altampo01,7,4,65,0,0,0,2,275,87,41,13,30,57,12.61,4,1,385.0,27,43
altavda01,8,7,117,0,0,0,1,344,92,51,15,60,127,23.93,18,0,489.0,33,58
altener01,0,1,14,1,0,0,0,69,40,23,2,9,4,9.0,0,0,112.0,7,27
altheaa01,0,0,1,0,0,0,0,3,2,1,0,0,2,9.0,0,0,5.0,1,1
altroni01,83,75,218,161,128,16,7,4542,1455,445,16,272,425,75.28,31,1,6024.0,46,600
alvarab01,0,1,4,1,0,0,0,31,19,13,5,7,5,36.43,0,0,53.0,1,13
alvarda01,6,1,56,0,0,0,0,144,56,27,10,22,61,39.24,7,2,222.0,12,31
alvarhe01,27,35,95,95,5,5,0,1733,610,245,56,140,302,25.369999999999997,16,4,2425.0,0,268
alvarjo01,8,9,98,0,0,0,5,487,140,54,12,79,134,10.55,7,2,688.0,38,56
alvarjo02,15,22,359,7,0,0,3,1022,346,136,34,109,303,24.13,8,1,1460.0,60,153
alvarjo03,2,15,149,1,0,0,15,398,104,51,6,71,161,16.83,15,0,577.0,42,58
alvarju01,0,5,80,0,0,0,0,181,58,35,12,40,42,24.35,2,1,271.0,19,36
alvarrj01,0,0,31,0,0,0,0,84,30,23,7,18,32,11.030000000000001,6,0,133.0,15,24
alvarta01,3,6,19,13,0,0,0,175,65,35,2,26,26,9.75,1,0,269.0,3,40
alvarvi01,0,2,9,1,0,0,0,48,18,13,2,8,10,17.060000000000002,0,0,71.0,4,13
alvarwi01,102,92,355,263,12,5,4,5243,1624,769,190,805,1330,57.42,28,4,7518.0,18,857
alzolad01,2,2,10,6,0,0,0,101,25,17,5,22,42,10.25,1,0,147.0,1,18
amarial01,0,0,2,0,0,0,0,2,0,0,0,0,0,0.0,0,0,2.0,2,0
ambrihe01,3,7,96,0,0,0,2,318,134,63,18,44,87,19.98,12,0,487.0,32,70
amesre01,183,167,533,368,209,26,36,9594,2896,934,42,1034,1702,56.36,156,1,13080.0,116,1313
amesst01,0,1,4,0,0,0,0,12,6,2,0,2,4,4.5,0,0,19.0,3,2
amoledo01,4,10,18,12,10,0,0,358,150,63,0,39,30,10.41,4,0,544.0,5,91
amorvi01,1,3,13,4,1,0,0,100,50,21,2,13,12,10.43,1,1,161.0,5,22
anckewa01,0,0,4,1,0,0,0,53,19,7,1,17,4,3.57,2,0,88.0,3,10
anderal02,49,54,148,128,15,3,0,2456,901,374,87,211,339,32.24,15,9,3474.0,7,424
anderbi01,0,0,2,0,0,0,0,8,5,3,0,2,1,10.13,0,0,14.0,2,3
anderbo01,36,46,246,93,15,1,13,2522,858,398,80,319,502,32.5,30,4,3634.0,62,450
anderbr02,82,83,291,245,12,4,1,4641,1743,814,264,337,723,67.69,22,28,6532.0,11,906
anderbr04,63,65,198,186,3,1,3,3133,1115,471,104,276,714,63.87,20,6,4419.0,4,520
anderbu01,4,10,64,6,1,0,7,447,148,61,12,62,76,7.43,8,0,643.0,39,71
anderch01,54,42,176,167,0,0,0,2672,845,402,140,291,759,30.8,14,1,3732.0,2,428
anderco01,9,9,39,26,1,0,0,482,174,85,23,45,107,19.08,8,1,681.0,4,86
andercr01,7,23,82,17,2,0,5,577,226,109,21,81,94,22.83,12,0,893.0,34,147
anderda01,3,13,21,17,15,0,0,451,177,91,4,74,56,19.55,6,0,705.0,3,130
anderdr02,0,2,10,1,0,0,0,67,33,24,3,11,21,76.11,1,0,113.0,3,25
anderfr01,53,57,178,114,62,11,8,2959,912,313,22,247,514,20.2,31,1,3978.0,43,415
anderia01,3,2,6,6,0,0,0,97,21,7,1,14,41,1.95,4,0,138.0,0,11
anderja01,2,0,32,0,0,0,0,114,38,27,6,30,19,62.79,3,0,182.0,15,29
anderji02,25,47,122,96,3,0,1,1724,672,346,58,240,241,39.28,22,1,2587.0,8,371
anderjo02,0,0,24,1,0,0,1,134,64,32,6,14,19,27.89,2,0,211.0,7,37
anderju01,6,3,111,0,0,0,5,307,84,54,9,72,127,9.620000000000001,13,1,458.0,17,57
anderla01,2,3,16,1,1,1,0,124,48,26,4,22,23,14.39,11,0,191.0,8,28
anderla02,40,39,699,1,0,0,49,2986,932,348,58,311,758,64.32,21,7,4171.0,267,402
anderma01,15,7,257,0,0,0,26,770,249,148,30,157,224,45.489999999999995,20,1,1162.0,111,167
andermi01,0,0,1,0,0,0,0,3,2,0,0,0,2,0.0,0,0,5.0,1,0
andermi02,0,0,3,0,0,0,0,16,12,11,3,3,4,18.56,0,0,30.0,0,11
anderni01,7,5,87,0,0,0,7,244,57,25,9,21,136,6.58,4,0,322.0,12,26
anderre01,5,8,36,9,3,0,0,410,150,66,7,69,40,14.79,4,0,606.0,6,84
anderri01,0,0,6,2,0,0,0,36,9,5,1,14,7,7.58,1,0,56.0,3,6
anderri02,4,4,28,10,0,0,1,290,112,51,9,29,42,20.810000000000002,2,1,425.0,5,56
andersc01,1,2,18,7,0,0,0,164,58,33,4,21,28,17.86,2,0,239.0,3,33
andersh01,3,5,46,16,0,0,2,334,121,64,16,50,88,8.96,8,0,494.0,8,67
anderta01,1,3,11,5,0,0,0,101,45,23,5,15,24,12.39,5,0,161.0,1,26
anderty01,22,27,86,82,1,0,0,1370,463,236,71,149,408,29.03,20,8,1943.0,1,251
anderva01,9,20,35,30,22,0,0,719,339,164,13,115,41,30.46,2,0,1162.0,4,237
anderwa01,1,0,17,2,0,0,0,158,45,19,0,29,20,6.89,1,0,253.0,12,26
anderwi01,0,0,7,2,0,0,0,52,16,9,0,17,11,4.67,1,0,80.0,5,15
andrast01,0,0,4,0,0,0,0,14,5,5,0,4,5,9.64,1,0,23.0,2,5
andrecl01,1,2,8,2,0,0,0,62,34,23,6,9,12,10.02,0,1,102.0,1,23
andreel01,0,0,6,0,0,0,0,24,12,9,0,11,0,10.13,0,0,44.0,2,12
andrehu01,0,0,8,0,0,0,0,35,17,6,1,4,2,6.23,0,0,53.0,4,8
andreiv01,50,59,249,108,43,2,8,3123,1151,479,59,342,257,38.3,9,2,4548.0,84,562
andrejo01,0,1,22,3,0,0,1,135,45,29,7,28,19,5.8,1,0,207.0,5,34
andrejo02,1,1,16,0,0,0,0,55,16,9,3,11,5,4.42,3,0,80.0,2,10
andrena01,41,54,127,97,50,5,2,2320,798,297,40,236,216,48.64,17,1,3307.0,13,350
andrima01,26,34,183,50,1,1,7,1382,467,234,69,134,424,35.26,20,10,1959.0,41,249
andrufr01,1,0,1,1,1,0,0,27,11,2,1,2,2,2.0,0,0,39.0,0,3
andujjo01,127,118,405,305,68,19,9,6459,2016,857,155,731,1032,54.0,33,33,9008.0,37,955
andujlu01,3,10,35,20,0,0,0,370,160,82,21,53,49,32.51,4,0,572.0,8,93
angelno01,2,1,28,0,0,0,3,59,15,6,1,19,19,7.16,2,0,89.0,8,6
ankieri01,13,10,51,41,0,0,1,726,198,105,32,130,269,19.3,20,2,1039.0,1,119
annade01,0,0,1,0,0,0,0,3,3,2,0,0,0,18.0,0,0,6.0,1,2
ansonca01,0,1,3,0,0,0,1,12,4,2,2,2,1,18.0,0,0,21.0,3,5
antoldu01,0,0,1,0,0,0,0,6,4,3,1,1,1,13.5,0,0,11.0,0,3
antonjo02,126,110,377,268,102,25,21,5977,1870,739,185,687,1162,51.48,27,1,8424.0,61,860
antonte01,0,3,13,4,0,0,0,106,20,11,4,16,45,2.8,2,0,141.0,1,11
aokino01,0,0,1,0,0,0,0,3,1,3,0,2,0,27.0,0,0,6.0,1,3
apodabo01,16,25,184,11,1,0,26,1084,312,115,22,131,197,11.23,7,4,1505.0,108,138
apontlu01,9,6,110,0,0,0,7,660,222,80,17,68,113,12.780000000000001,5,3,928.0,66,86
appieke01,169,137,414,402,34,12,0,7786,2425,1078,232,933,1994,88.92,106,7,10958.0,2,1168
appleed01,5,12,48,13,6,0,1,556,182,67,4,84,64,6.38,8,1,811.0,15,96
applefr01,1,2,3,3,3,0,0,63,29,15,0,8,12,6.43,1,0,97.0,0,18
applepe01,57,66,341,71,34,6,26,3423,1187,545,76,486,420,89.06,32,1,5044.0,186,667
aquingr01,3,6,145,0,0,0,17,463,163,91,23,87,143,36.83,13,1,709.0,65,101
aquinja01,1,2,7,2,0,0,0,47,16,11,4,6,16,7.43,1,0,70.0,3,12
aquinlu01,31,32,222,69,5,3,5,2035,698,277,45,224,318,49.17,20,3,2902.0,40,311
aranovi01,3,2,73,0,0,0,3,224,62,22,7,23,80,8.28,1,0,304.0,17,23
araujel01,4,2,72,0,0,0,0,186,64,30,5,36,63,8.98,2,1,285.0,14,39
araujpe01,1,3,21,0,0,0,0,86,31,26,10,19,29,34.71,1,0,134.0,8,26
archech01,60,80,212,210,3,3,0,3705,1127,530,150,420,1349,36.269999999999996,68,0,5203.0,1,587
archefr01,2,3,7,5,2,0,0,119,45,28,3,15,11,12.379999999999999,0,0,177.0,1,30
archeji02,9,16,57,28,9,2,5,699,244,102,19,70,122,12.629999999999999,2,4,1008.0,14,129
arciafr01,0,0,2,0,0,0,0,9,5,3,2,0,0,9.0,0,0,13.0,2,3
arciaor01,0,0,2,0,0,0,0,6,4,4,1,1,0,18.0,0,0,11.0,2,4
ardizru01,0,0,1,0,0,0,0,6,4,2,1,1,0,9.0,0,0,10.0,1,2
arellfr01,24,22,74,49,25,2,8,1229,358,104,5,85,148,6.880000000000001,8,0,1602.0,23,147
arencjp01,0,0,1,0,0,0,0,3,1,0,0,0,0,0.0,0,0,4.0,1,0
ariasal02,4,2,63,2,0,0,0,224,80,31,3,34,55,17.64,6,0,336.0,16,35
ariasru01,2,0,34,0,0,0,2,132,49,20,7,20,28,4.09,0,0,200.0,13,23
arlicdo01,0,1,8,1,0,0,0,30,16,9,0,5,1,18.75,1,0,51.0,1,11
arlinst01,34,67,141,123,32,11,1,2366,792,379,61,373,463,36.81,45,3,3474.0,7,431
armasto02,53,65,185,167,0,0,0,2777,891,478,122,431,680,45.41,43,6,4055.0,7,519
armbror01,1,0,3,2,0,0,0,38,10,3,1,3,3,2.13,0,0,51.0,1,3
armenro01,1,1,5,2,0,0,1,54,17,8,1,5,18,4.0,0,0,75.0,2,9
armstho01,0,1,1,0,0,0,0,9,3,0,0,1,0,0.0,0,0,12.0,1,2
armstja01,40,65,152,130,4,1,0,2360,807,400,102,319,510,32.06,26,13,3450.0,10,439
armstmi01,19,17,197,1,0,0,11,1014,300,154,42,155,221,43.29,16,2,1439.0,94,170
armstsh01,4,2,122,0,0,0,5,393,121,59,17,52,130,32.050000000000004,8,1,567.0,36,63
arnolja01,2,7,50,7,0,0,2,325,119,69,7,58,42,16.14,5,0,494.0,23,81
arnolsc01,0,0,6,0,0,0,0,20,9,4,0,4,8,5.4,3,3,32.0,2,4
arnolto01,0,2,38,0,0,0,0,235,96,44,8,28,25,9.32,1,0,343.0,13,50
arnsbbr01,9,6,94,4,0,0,6,475,159,75,27,85,100,35.44,18,3,714.0,29,85
arntzor01,4,13,32,20,9,0,0,493,172,77,5,69,66,4.22,2,0,708.0,7,85
arochre01,18,17,124,36,2,1,11,993,363,151,37,75,190,23.1,7,1,1404.0,40,169
arojo01,0,1,7,0,0,0,0,33,16,8,2,5,8,6.97,0,0,53.0,2,8
arredjo01,22,11,214,0,0,0,1,660,182,80,21,110,212,13.8,10,5,935.0,52,92
arrieja01,110,79,261,255,6,5,0,4541,1319,632,157,527,1350,51.41,76,1,6286.0,1,696
arrigge01,35,40,194,80,9,3,4,1860,605,285,56,291,433,73.24000000000001,42,1,2718.0,45,315
arrojro01,40,42,158,105,4,2,6,2100,715,354,83,255,512,28.29,13,3,3040.0,15,377
arroybr01,148,137,419,383,16,6,1,7307,2507,1158,347,661,1571,70.15,42,6,10338.0,6,1260
arroyfe01,24,37,121,60,12,2,0,1607,589,264,56,160,172,44.41,15,4,2289.0,28,288
arroylu01,40,32,244,36,10,1,44,1594,524,232,58,208,336,40.91,19,0,2315.0,119,261
arroyru01,0,1,9,0,0,0,0,35,18,7,2,5,5,5.4,1,0,55.0,3,8
arteahu01,0,0,1,0,0,0,0,5,2,1,1,1,0,5.4,0,0,8.0,1,1
arundha01,5,11,16,16,14,0,0,390,171,65,3,28,52,13.41,7,0,601.0,0,119
ascanjo01,1,3,43,0,0,0,0,138,57,27,7,21,41,30.38,1,0,221.0,16,29
asencmi01,7,8,42,30,1,0,0,538,199,102,22,89,92,15.02,8,0,809.0,7,110
ashbyan01,98,110,309,285,21,7,1,5432,1857,829,205,540,1173,71.12,58,4,7692.0,10,922
asheral01,4,12,38,18,0,0,0,359,127,72,19,38,78,16.84,6,2,527.0,7,77
ashke01,6,8,55,13,5,0,2,484,178,89,6,59,47,23.76,3,0,689.0,33,109
assenpa01,61,44,884,1,0,0,56,2567,817,336,73,315,807,60.05,31,5,3664.0,275,371
astacez01,5,6,28,14,0,0,0,260,107,58,25,31,72,16.79,4,1,396.0,7,63
astacpe01,129,124,392,343,31,12,0,6590,2292,1140,291,726,1664,88.76,59,18,9472.0,11,1213
astinba01,0,0,6,0,0,0,0,24,9,6,2,7,2,6.75,0,0,41.0,1,6
astudwi01,0,0,1,0,0,0,0,3,5,5,2,0,0,45.0,0,0,8.0,1,5
atchisc01,17,11,298,1,0,0,3,1040,327,140,35,89,253,37.7,21,0,1427.0,61,155
atchlju01,0,0,15,0,0,0,0,31,12,7,4,5,8,6.1,1,0,48.0,2,7
atherke01,33,41,342,0,0,0,26,1699,546,251,75,215,349,33.12,10,1,2431.0,158,268
atilalu01,6,7,16,16,0,0,0,257,96,49,11,32,40,5.15,1,1,385.0,0,56
atkinal01,51,51,106,106,99,3,0,2745,943,403,21,209,435,19.17,80,0,4001.0,2,656
atkinbi01,11,4,98,0,0,0,11,442,129,56,17,62,99,9.7,7,0,625.0,49,60
atkinja01,0,1,4,1,0,0,0,45,15,6,1,11,2,7.34,1,0,70.0,2,8
atkinmi01,0,0,10,3,0,0,0,68,34,17,7,9,17,14.739999999999998,0,0,112.0,3,18
atkinto01,3,2,16,4,2,0,2,189,59,20,0,28,33,7.18,0,0,261.0,9,37
aucoide01,0,1,2,0,0,0,0,8,3,1,0,1,1,3.38,0,0,12.0,0,1
augenbr01,0,2,12,2,0,0,0,68,34,21,3,9,12,17.47,1,0,112.0,3,23
augusdo01,34,30,88,70,9,3,0,1320,491,227,47,158,181,20.419999999999998,15,1,1926.0,6,245
augusje01,55,59,279,104,27,6,11,2832,1028,444,87,340,348,38.43,21,4,4101.0,75,491
aukerel01,130,101,333,261,126,14,2,5890,2230,964,129,706,594,45.43,10,3,8688.0,40,1106
aumonph01,1,6,46,1,0,0,2,131,53,33,5,34,42,40.43,5,1,218.0,15,35
